
t is 0; x is 0
t is 0.01; x is -0.00049
t is 0.02; x is -0.00196
t is 0.03; x is -0.00441
t is 0.04; x is -0.00783998
t is 0.05; x is -0.0122499
t is 0.06; x is -0.0176398
t is 0.07; x is -0.0240095
t is 0.08; x is -0.031359
t is 0.09; x is -0.0396879
t is 0.1; x is -0.0489961
t is 0.11; x is -0.0592831
t is 0.12; x is -0.0705483
t is 0.13; x is -0.0827911
t is 0.14; x is -0.0960105
t is 0.15; x is -0.110205
t is 0.16; x is -0.125374
t is 0.17; x is -0.141515
t is 0.18; x is -0.158627
t is 0.19; x is -0.176706
t is 0.2; x is -0.195749
t is 0.21; x is -0.215754
t is 0.22; x is -0.236717
t is 0.23; x is -0.258631
t is 0.24; x is -0.281494
t is 0.25; x is -0.305297
t is 0.26; x is -0.330035
t is 0.27; x is -0.3557
t is 0.28; x is -0.382284
t is 0.29; x is -0.409777
t is 0.3; x is -0.438169
t is 0.31; x is -0.467448
t is 0.32; x is -0.497601
t is 0.33; x is -0.528616
t is 0.34; x is -0.560477
t is 0.35; x is -0.593168
t is 0.36; x is -0.626671
t is 0.37; x is -0.660969
t is 0.38; x is -0.696039
t is 0.39; x is -0.731862
t is 0.4; x is -0.768413
t is 0.41; x is -0.805669
t is 0.42; x is -0.843604
t is 0.43; x is -0.882189
t is 0.44; x is -0.921398
t is 0.45; x is -0.961199
t is 0.46; x is -1.00156
t is 0.47; x is -1.04245
t is 0.48; x is -1.08384
t is 0.49; x is -1.12568
t is 0.5; x is -1.16794
t is 0.51; x is -1.21059
t is 0.52; x is -1.25358
t is 0.53; x is -1.29688
t is 0.54; x is -1.34045
t is 0.55; x is -1.38424
t is 0.56; x is -1.42821
t is 0.57; x is -1.47232
t is 0.58; x is -1.51652
t is 0.59; x is -1.56078
t is 0.6; x is -1.60505
t is 0.61; x is -1.64928
t is 0.62; x is -1.69344
t is 0.63; x is -1.73748
t is 0.64; x is -1.78136
t is 0.65; x is -1.82503
t is 0.66; x is -1.86845
t is 0.67; x is -1.91159
t is 0.68; x is -1.9544
t is 0.69; x is -1.99684
t is 0.7; x is -2.03888
t is 0.71; x is -2.08047
t is 0.72; x is -2.12159
t is 0.73; x is -2.1622
t is 0.74; x is -2.20226
t is 0.75; x is -2.24174
t is 0.76; x is -2.28061
t is 0.77; x is -2.31884
t is 0.78; x is -2.35641
t is 0.79; x is -2.39328
t is 0.8; x is -2.42944
t is 0.81; x is -2.46485
t is 0.82; x is -2.4995
t is 0.83; x is -2.53336
t is 0.84; x is -2.56643
t is 0.85; x is -2.59866
t is 0.86; x is -2.63006
t is 0.87; x is -2.66061
t is 0.88; x is -2.69028
t is 0.89; x is -2.71908
t is 0.9; x is -2.74698
t is 0.91; x is -2.77398
t is 0.92; x is -2.80006
t is 0.93; x is -2.82522
t is 0.94; x is -2.84944
t is 0.95; x is -2.87273
t is 0.96; x is -2.89508
t is 0.97; x is -2.91647
t is 0.98; x is -2.93691
t is 0.99; x is -2.95639
t is 1; x is -2.97491
t is 1.01; x is -2.99245
t is 1.02; x is -3.00904
t is 1.03; x is -3.02464
t is 1.04; x is -3.03928
t is 1.05; x is -3.05294
t is 1.06; x is -3.06563
t is 1.07; x is -3.07733
t is 1.08; x is -3.08806
t is 1.09; x is -3.09781
t is 1.1; x is -3.10659
t is 1.11; x is -3.11438
t is 1.12; x is -3.12119
t is 1.13; x is -3.12703
t is 1.14; x is -3.13188
t is 1.15; x is -3.13575
t is 1.16; x is -3.13865
t is 1.17; x is -3.14056
t is 1.18; x is -3.14149
t is 1.19; x is -3.14145
t is 1.2; x is -3.14042
t is 1.21; x is -3.13841
t is 1.22; x is -3.13543
t is 1.23; x is -3.13146
t is 1.24; x is -3.12651
t is 1.25; x is -3.12059
t is 1.26; x is -3.11368
t is 1.27; x is -3.10579
t is 1.28; x is -3.09693
t is 1.29; x is -3.08709
t is 1.3; x is -3.07626
t is 1.31; x is -3.06446
t is 1.32; x is -3.05168
t is 1.33; x is -3.03793
t is 1.34; x is -3.0232
t is 1.35; x is -3.0075
t is 1.36; x is -2.99083
t is 1.37; x is -2.97319
t is 1.38; x is -2.95458
t is 1.39; x is -2.93501
t is 1.4; x is -2.91448
t is 1.41; x is -2.893
t is 1.42; x is -2.87056
t is 1.43; x is -2.84718
t is 1.44; x is -2.82287
t is 1.45; x is -2.79762
t is 1.46; x is -2.77145
t is 1.47; x is -2.74437
t is 1.48; x is -2.71638
t is 1.49; x is -2.6875
t is 1.5; x is -2.65774
t is 1.51; x is -2.62712
t is 1.52; x is -2.59564
t is 1.53; x is -2.56332
t is 1.54; x is -2.53018
t is 1.55; x is -2.49624
t is 1.56; x is -2.46152
t is 1.57; x is -2.42603
t is 1.58; x is -2.38981
t is 1.59; x is -2.35287
t is 1.6; x is -2.31524
t is 1.61; x is -2.27694
t is 1.62; x is -2.23801
t is 1.63; x is -2.19847
t is 1.64; x is -2.15836
t is 1.65; x is -2.11771
t is 1.66; x is -2.07654
t is 1.67; x is -2.0349
t is 1.68; x is -1.99282
t is 1.69; x is -1.95034
t is 1.7; x is -1.9075
t is 1.71; x is -1.86434
t is 1.72; x is -1.82089
t is 1.73; x is -1.77719
t is 1.74; x is -1.7333
t is 1.75; x is -1.68925
t is 1.76; x is -1.64508
t is 1.77; x is -1.60084
t is 1.78; x is -1.55657
t is 1.79; x is -1.51232
t is 1.8; x is -1.46812
t is 1.81; x is -1.42402
t is 1.82; x is -1.38007
t is 1.83; x is -1.3363
t is 1.84; x is -1.29276
t is 1.85; x is -1.24949
t is 1.86; x is -1.20652
t is 1.87; x is -1.16391
t is 1.88; x is -1.12168
t is 1.89; x is -1.07988
t is 1.9; x is -1.03854
t is 1.91; x is -0.997702
t is 1.92; x is -0.957392
t is 1.93; x is -0.917646
t is 1.94; x is -0.878496
t is 1.95; x is -0.83997
t is 1.96; x is -0.802099
t is 1.97; x is -0.764909
t is 1.98; x is -0.728426
t is 1.99; x is -0.692674
t is 2; x is -0.657676
t is 2.01; x is -0.623453
t is 2.02; x is -0.590026
t is 2.03; x is -0.557414
t is 2.04; x is -0.525632
t is 2.05; x is -0.494699
t is 2.06; x is -0.464628
t is 2.07; x is -0.435432
t is 2.08; x is -0.407126
t is 2.09; x is -0.379719
t is 2.1; x is -0.353222
t is 2.11; x is -0.327644
t is 2.12; x is -0.302995
t is 2.13; x is -0.27928
t is 2.14; x is -0.256508
